county_state,absolute,latitude,longitude
Teller CO,45.6,38.94355,-105.140532
Washington CO,,40.092526,-103.156814
Weld CO,44.3,40.328082,-104.788507
Yuma CO,54.3,40.069473,-102.486935
Fairfield CT,42.9,41.207889,-73.364521
Hartford CT,41.6,41.761943,-72.717282
Litchfield CT,44.3,41.727851,-73.187494
Middlesex CT,44.7,41.478564,-72.571408
New Haven CT,41.9,41.396052,-72.941497
New London CT,42.8,41.443373,-72.097683
Tolland CT,46.1,41.842762,-72.37209
Windham CT,42.9,41.804225,-71.995072
Kent DE,39.7,39.12322,-75.558604
New Castle DE,37.1,39.68502,-75.634376
Sussex DE,37.9,38.662387,-75.346649
District of Columbia DC,35.8,38.91027,-77.014468
Alachua FL,38.1,29.665903,-82.386845
Baker FL,39.6,30.288432,-82.185477
Bay FL,39.7,30.206925,-85.660217
Bradford FL,38.9,29.953429,-82.128192
Brevard FL,39.5,28.232195,-80.690979
Broward FL,40.3,26.134058,-80.227135
Calhoun FL,40.3,30.463143,-85.122189
Charlotte FL,41.9,26.954793,-82.119946
Citrus FL,40.8,28.863598,-82.453512
Clay FL,40.9,30.084386,-81.79941
Collier FL,40.4,26.199831,-81.699625
Columbia FL,38.3,30.126051,-82.660566
De Soto FL,37.0,,
Dixie FL,41.1,29.634179,-83.056329
Duval FL,36.7,30.300302,-81.622853
Escambia FL,38.1,30.485314,-87.274788
Flagler FL,40.2,29.523494,-81.224735
Franklin FL,36.0,29.786787,-84.822838
Gadsden FL,33.8,30.59828,-84.581397
Gilchrist FL,41.3,29.704639,-82.808262
Glades FL,,26.896029,-81.185404
Gulf FL,36.1,29.988579,-85.259478
Hamilton FL,37.3,30.501534,-82.997218
Hardee FL,40.7,27.548312,-81.815432
Hendry FL,38.8,26.705392,-81.202571
Hernando FL,40.4,28.50485,-82.496961
Highlands FL,39.5,27.460415,-81.442555
Hillsborough FL,38.7,27.976529,-82.401275
Holmes FL,41.6,30.847684,-85.758558
Indian River FL,38.9,27.671827,-80.440581
Jackson FL,40.0,30.80024,-85.216119
Jefferson FL,36.7,30.504031,-83.886291
Lafayette FL,,30.065418,-83.179508
Lake FL,38.1,28.735689,-81.752026
Lee FL,39.1,26.574992,-81.858144
Leon FL,37.8,30.466103,-84.270371
Levy FL,38.6,29.379995,-82.666319
Liberty FL,,30.399795,-84.905169
Madison FL,35.4,30.47263,-83.430563
Manatee FL,37.5,27.477054,-82.532775
Marion FL,38.3,29.140116,-82.123367
Martin FL,39.1,27.1443,-80.244395
Miami-Dade FL,42.0,25.774565,-80.298888
Monroe FL,43.7,24.739678,-81.263945
Nassau FL,37.7,30.607962,-81.647153
Okaloosa FL,40.8,30.542829,-86.567105
Okeechobee FL,39.0,27.272057,-80.822153
Orange FL,38.5,28.532855,-81.384377
Osceola FL,40.2,28.266765,-81.383484
Palm Beach FL,39.3,26.617075,-80.146119
Pasco FL,39.1,28.261606,-82.51608
Pinellas FL,39.6,27.899794,-82.727651
Polk FL,39.3,28.03114,-81.799975
Putnam FL,36.9,29.609299,-81.720431
St Johns FL,39.3,,
St Lucie FL,37.6,,
Santa Rosa FL,42.8,30.549593,-87.036954
Sarasota FL,40.2,27.208205,-82.423893
Seminole FL,41.3,28.697834,-81.310445
Sumter FL,37.6,28.825768,-82.035469
Suwannee FL,41.1,30.214688,-82.987546
Taylor FL,39.8,30.064881,-83.597967
Union FL,38.1,30.010768,-82.356919
Volusia FL,39.6,29.073725,-81.123944
Wakulla FL,39.5,30.185525,-84.331546
Walton FL,39.5,30.583729,-86.190665
Washington FL,40.7,30.650718,-85.625419
Appling GA,39.1,31.77388,-82.338473
Atkinson GA,37.6,31.317301,-82.886363
Bacon GA,37.4,31.547221,-82.466071
Baker GA,,31.307754,-84.437989
Baldwin GA,32.9,33.084849,-83.245659
Banks GA,40.8,34.351255,-83.506647
Barrow GA,37.6,33.993054,-83.7275
Bartow GA,37.4,34.208435,-84.829122
Ben Hill GA,36.6,31.727638,-83.248636
Berrien GA,40.4,31.238588,-83.252459
Bibb GA,34.0,32.832049,-83.687184
Bleckley GA,35.8,32.401368,-83.33214
Brantley GA,38.7,31.216648,-81.96997
Brooks GA,35.8,30.842082,-83.54009
Bryan GA,38.8,31.979537,-81.375954
Bulloch GA,35.4,32.417702,-81.76242
Burke GA,35.4,33.101987,-81.998447
Butts GA,36.0,33.296102,-83.970002
Camden FL,38.4,,
Candler GA,34.5,32.399861,-82.062305
Carroll GA,38.8,33.622193,-85.044673
Catoosa TN,40.8,,
Charlton FL,40.0,,
Chatham GA,35.0,32.036008,-81.126449
Chattahoochee GA,,32.344231,-84.899254
Chattooga GA,38.8,34.495509,-85.344167
Clarke GA,32.8,33.950406,-83.380863
Clay GA,,31.633549,-85.013368
Clayton GA,35.8,33.553383,-84.362238
Clinch GA,36.7,31.017888,-82.740932
Cobb GA,39.8,33.943254,-84.557878
Coffee GA,36.4,31.516,-82.840667
Colquitt GA,36.0,31.180955,-83.768671
Columbia GA,39.6,33.51622,-82.165654
Cook GA,36.3,31.149847,-83.424499
Coweta GA,35.9,33.379117,-84.736399
Crawford GA,,32.707681,-83.934002
Crisp GA,33.3,31.947962,-83.777791
Dade TN,41.5,,
Dawson GA,38.2,34.40138,-84.104119
Decatur GA,37.4,30.888345,-84.57036
De Kalb GA,34.6,,
Dodge GA,39.8,32.212815,-83.175591
Dooly GA,35.8,32.16758,-83.784195
Dougherty GA,32.6,31.573426,-84.167625
Douglas GA,39.5,33.724923,-84.734644
Early GA,34.4,31.331726,-84.916722
Echols GA,,30.708629,-83.057989
Effingham GA,41.0,32.291745,-81.299511
Elbert GA,36.2,34.126521,-82.879523
Emanuel GA,37.8,32.58586,-82.307952
Evans GA,36.2,32.169649,-81.907367
Fannin GA,39.9,34.901383,-84.313402
Fayette GA,43.7,33.427941,-84.512414
Floyd GA,36.1,34.255796,-85.183164
Forsyth GA,46.9,34.19492,-84.144322
Franklin GA,38.9,34.377335,-83.186079
Fulton GA,33.1,33.836086,-84.393645
Gilmer GA,41.4,34.677249,-84.483646
Glascock GA,,33.235927,-82.609847
Glynn GA,35.5,31.202698,-81.486488
Gordon GA,39.2,34.498326,-84.908795
Grady GA,37.0,30.882764,-84.214288
Greene GA,33.2,33.549876,-83.166093
Gwinnett GA,41.3,33.951956,-84.057963
Habersham GA,39.3,34.56516,-83.541626
Hall GA,39.1,34.275205,-83.844712
Hancock GA,33.3,33.255825,-83.002047
Haralson GA,40.9,33.76192,-85.18547
Harris GA,38.1,32.699933,-84.895034
Hart GA,38.9,34.355413,-82.964953
Heard GA,35.9,33.309334,-85.1134
Henry GA,39.5,33.475842,-84.175416
Houston GA,38.5,32.571603,-83.663357
Irwin GA,37.2,31.604647,-83.280834
Jackson GA,37.6,34.132059,-83.584805
Jasper GA,34.4,33.356251,-83.724341
Jasper GA,34.4,33.356251,-83.724341
Jasper GA,34.1,33.356251,-83.724341
Jasper SC,34.1,32.427942,-81.012491
Jeff Davis GA,36.9,31.848776,-82.600696
Jefferson GA,35.0,33.063551,-82.407657
Jenkins GA,35.2,32.794618,-81.950133
Johnson GA,34.3,32.701199,-82.679535
Jones GA,37.5,32.962134,-83.54514
Lamar GA,37.9,33.08002,-84.1544
Lanier GA,,31.035393,-83.090886
Laurens GA,35.4,32.516487,-82.926131
Lee GA,40.6,31.681194,-84.173396
Liberty GA,37.8,31.827766,-81.578482
Lincoln GA,36.3,33.781126,-82.44638
Long GA,,31.778807,-81.733663
Lowndes GA,36.3,30.857006,-83.280221
Lumpkin GA,40.9,34.524951,-83.986879
McDuffie GA,35.9,33.459617,-82.469866
McIntosh GA,36.4,31.47526,-81.407579
Macon GA,33.8,32.325042,-84.038814
Madison GA,36.6,34.104614,-83.24068
Marion GA,,32.380907,-84.523557
Meriwether GA,33.6,33.008863,-84.672846
Miller GA,38.3,31.159722,-84.737198
Mitchell GA,35.5,31.216853,-84.172094
Monroe GA,35.2,33.038194,-83.906823
Montgomery GA,38.0,32.167319,-82.533261
Morgan GA,33.3,33.600243,-83.485957
Murray GA,35.5,34.782329,-84.792066
Muscogee GA,35.2,32.492289,-84.930634
Newton GA,34.4,33.56952,-83.896609
Oconee GA,40.5,33.875278,-83.457946
Oglethorpe GA,35.9,33.916594,-83.14492
Paulding GA,38.2,33.905688,-84.816609
Peach GA,35.4,32.584826,-83.82958
Pickens GA,39.3,34.455892,-84.442301
Pierce GA,41.6,31.314668,-82.240429
Pike GA,39.2,33.103227,-84.366796
Polk GA,37.4,34.010878,-85.176771
Pulaski GA,33.7,32.275344,-83.480342
Putnam GA,34.0,33.317059,-83.339663
Quitman GA,,31.859377,-85.077727
Rabun GA,38.5,34.87903,-83.407223
Richmond GA,35.8,33.426859,-82.049444
Rockdale GA,39.8,33.642043,-84.020894
Schley GA,,32.241549,-84.306781
Screven GA,36.1,32.722842,-81.627328
Seminole GA,37.6,30.972496,-84.868027
Spalding GA,34.9,33.258051,-84.273339
Stephens GA,38.7,34.556904,-83.288681
Stewart GA,,32.069335,-84.764519
Sumter GA,33.5,32.059981,-84.221818
Talbot GA,33.5,32.703124,-84.582116
Taliaferro GA,,33.5688,-82.88576
Tattnall GA,36.5,32.043908,-82.052217
Taylor GA,35.9,32.560542,-84.215083
Telfair GA,36.9,32.01562,-82.892471
Terrell GA,34.8,31.772157,-84.42886
Thomas GA,36.1,30.868962,-83.948411
Tift GA,35.9,31.454362,-83.515048
Toombs GA,37.8,32.183936,-82.367022
Towns NC,,,
Treutlen GA,39.2,32.387047,-82.589718
Troup GA,35.3,33.036737,-85.031746
Turner GA,34.6,31.700824,-83.636891
Twiggs GA,33.7,32.703662,-83.416286
Union NC,41.5,35.013609,-80.619702
Union NC,38.6,35.013609,-80.619702
Union NC,41.5,35.013609,-80.619702
Union NC,38.6,35.013609,-80.619702
Upson GA,36.8,32.907469,-84.324382
Walker TN,38.3,,
Walton GA,36.8,33.795381,-83.784266
Ware GA,37.2,31.22682,-82.383943
Warren GA,32.7,33.407596,-82.662844
Washington GA,34.3,32.962029,-82.773406
Wayne GA,37.6,31.611857,-81.919105
Webster GA,,32.049343,-84.560657
Wheeler GA,,32.146558,-82.751307
White GA,45.0,34.601048,-83.744309
Whitfield GA,38.3,34.792742,-84.965686
Wilcox GA,40.0,31.975167,-83.405657
Wilkes GA,35.9,33.755364,-82.753524
Wilkinson GA,32.3,32.8443,-83.239491
Worth GA,38.6,31.535712,-83.861186
Hawaii HI,40.1,19.672837,-155.421895
Honolulu HI,44.8,21.372464,-157.913673
Kalaupapa HI,,,
Kauai HI,43.6,22.021022,-159.442112
Maui HI,42.2,20.863747,-156.493816
Ada ID,42.6,43.611186,-116.304409
Adams ID,,44.848619,-116.375947
Bannock ID,43.1,42.869212,-112.423672
Bear Lake ID,53.8,42.306336,-111.341632
Benewah ID,45.6,47.271692,-116.639736
Bingham ID,46.3,43.217372,-112.355721
Blaine ID,43.1,43.541366,-114.294277
Boise ID,,43.899702,-115.993695
Bonner ID,45.7,48.235649,-116.630982
Bonneville ID,45.5,43.494876,-111.997623
Boundary ID,46.2,48.705964,-116.302851
Butte ID,,43.699097,-113.294562
Camas ID,,43.350524,-114.756451
Canyon ID,41.6,43.611438,-116.627276
Caribou ID,53.4,42.643778,-111.656063
Cassia ID,48.2,42.482791,-113.741833
Clark ID,,44.185815,-112.278608
Clearwater ID,46.7,46.48524,-116.185221
Custer ID,,44.285168,-114.048035
Elmore ID,44.1,43.11532,-115.684407
Franklin UT,54.8,,
Fremont ID,49.6,44.014844,-111.615464
Gem ID,45.5,43.884323,-116.506739
Gooding ID,46.3,42.852717,-114.751067
Idaho ID,48.5,45.974127,-116.106566
Jefferson ID,49.1,43.691123,-111.969394
Jerome ID,45.2,42.698447,-114.462669
Kootenai ID,44.8,47.73713,-116.832581
Latah ID,46.3,46.742968,-116.934434
Lemhi ID,46.2,45.127412,-113.86153
Lewis ID,46.9,46.238066,-116.25739
Lincoln ID,,42.973467,-114.326069
Madison ID,51.6,43.819114,-111.794073
Minidoka ID,49.2,42.613266,-113.712227
Nez Perce ID,43.6,46.394126,-116.950462
Oneida UT,,,
Owyhee ID,46.0,43.376748,-116.681558
Payette ID,43.9,44.020334,-116.894281
Power ID,46.9,42.775001,-112.829004
Shoshone ID,43.4,47.514637,-116.085925
Teton WY,50.1,43.494174,-110.784353
Teton WY,50.4,43.494174,-110.784353
Teton WY,50.1,43.494174,-110.784353
Teton WY,50.4,43.494174,-110.784353
Twin Falls ID,45.5,42.558563,-114.504002
Valley ID,43.3,44.758677,-116.073719
Washington OR,45.7,45.48421,-122.870641
Washington OR,45.7,45.48421,-122.870641
Washington OR,43.1,45.48421,-122.870641
Washington ID,43.1,44.297898,-116.919922
Adams IL,45.4,39.943826,-91.328948
Alexander IL,35.7,37.149251,-89.289666
Bond IL,43.3,38.884622,-89.432819
Boone IL,42.9,42.293981,-88.851989
Brown IL,,39.964815,-90.746466
Bureau IL,47.2,41.382964,-89.42378
Calhoun IL,,39.12353,-90.63801
Carroll IL,46.8,42.071879,-89.963255
Cass IL,44.4,39.979866,-90.319209
Champaign IL,40.5,40.128073,-88.233083
Christian IL,45.1,39.525298,-89.254627
Clark IL,47.5,39.351007,-87.800246
Clay IL,44.5,38.716132,-88.490134
Clinton IL,52.3,38.587753,-89.472099
Coles IL,40.9,39.487297,-88.258277
Cook IL,38.0,41.865937,-87.757714
Crawford IL,43.7,39.00569,-87.748024
Cumberland IL,44.0,39.275965,-88.280887
De Kalb IL,45.3,,
Dewitt IL,46.3,,
Douglas IL,48.8,39.766826,-88.279794
Du Page IL,49.0,,
Edgar IL,45.7,39.635942,-87.71537
Edwards IL,49.0,38.402493,-88.04063
Effingham IL,50.3,39.094723,-88.576033
Fayette IL,45.6,38.997829,-89.033295
Ford IL,47.8,40.527422,-88.217453
Franklin IL,45.3,37.962135,-88.953316
Fulton IL,44.1,40.521963,-90.119357
Gallatin IL,50.5,37.770001,-88.238563
Greene IL,48.2,39.37224,-90.373465
Grundy IL,46.8,41.345274,-88.347437
Hamilton IL,49.4,38.092156,-88.557747
Hancock IA,51.4,43.092013,-93.705072
Hancock IA,55.1,43.092013,-93.705072
Hancock IA,51.4,43.092013,-93.705072
