county state,relative mobility,absolute mobility,sample size,lat,long
Coffee GA,0.382,36.4,1571,31.516,-82.840667
Colquitt GA,0.444,36,1685,31.180955,-83.768671
Columbia GA,0.347,39.6,2260,33.51622,-82.165654
Cook GA,0.447,36.3,601,31.149847,-83.424499
Coweta GA,0.351,35.9,3107,33.379117,-84.736399
Crisp GA,0.448,33.3,963,31.947962,-83.777791
Dade TN,0.329,41.5,524,,
Dawson GA,0.306,38.2,551,34.40138,-84.104119
Decatur GA,0.384,37.4,1163,30.888345,-84.57036
De Kalb GA,0.322,34.6,20261,,
Dodge GA,0.423,39.8,675,32.212815,-83.175591
Dooly GA,0.405,35.8,759,32.16758,-83.784195
Dougherty GA,0.37,32.6,4376,31.573426,-84.167625
Douglas GA,0.298,39.5,3154,33.724923,-84.734644
Early GA,0.471,34.4,539,31.331726,-84.916722
Effingham GA,0.352,41,1398,32.291745,-81.299511
Elbert GA,0.409,36.2,846,34.126521,-82.879523
Emanuel GA,0.38,37.8,1051,32.58586,-82.307952
Evans GA,0.497,36.2,380,32.169649,-81.907367
Fannin GA,0.267,39.9,650,34.901383,-84.313402
Fayette GA,0.294,43.7,4051,33.427941,-84.512414
Floyd GA,0.376,36.1,3025,34.255796,-85.183164
Forsyth GA,0.167,46.9,338,34.19492,-84.144322
Franklin GA,0.354,38.9,801,34.377335,-83.186079
Fulton GA,0.402,33.1,25307,33.836086,-84.393645
Gilmer GA,0.284,41.4,645,34.677249,-84.483646
Glynn GA,0.329,35.5,2483,31.202698,-81.486488
Gordon GA,0.351,39.2,1707,34.498326,-84.908795
Grady GA,0.423,37,868,30.882764,-84.214288
Greene GA,0.407,33.2,599,33.549876,-83.166093
Gwinnett GA,0.29,41.3,6249,33.951956,-84.057963
Habersham GA,0.432,39.3,1171,34.56516,-83.541626
Hall GA,0.334,39.1,4328,34.275205,-83.844712
Hancock GA,0.308,33.3,386,33.255825,-83.002047
Haralson GA,0.361,40.9,918,33.76192,-85.18547
Harris GA,0.305,38.1,792,32.699933,-84.895034
Hart GA,0.336,38.9,561,34.355413,-82.964953
Heard GA,0.334,35.9,374,33.309334,-85.1134
Henry GA,0.319,39.5,3964,33.475842,-84.175416
Houston GA,0.347,38.5,4387,32.571603,-83.663357
Irwin GA,0.426,37.2,374,31.604647,-83.280834
Jackson GA,0.35,37.6,1524,34.132059,-83.584805
Jasper GA,0.451,34.4,383,33.356251,-83.724341
Jasper GA,0.372,34.1,743,33.356251,-83.724341
Jeff Davis GA,0.447,36.9,544,31.848776,-82.600696
Jefferson GA,0.546,35,886,33.063551,-82.407657
Jenkins GA,0.332,35.2,361,32.794618,-81.950133
Johnson GA,0.503,34.3,337,32.701199,-82.679535
Jones GA,0.372,37.5,609,32.962134,-83.54514
Lamar GA,0.323,37.9,570,33.08002,-84.1544
Laurens GA,0.423,35.4,1927,32.516487,-82.926131
Lee GA,0.302,40.6,1028,31.681194,-84.173396
Liberty GA,0.264,37.8,2347,31.827766,-81.578482
Lincoln GA,0.371,36.3,308,33.781126,-82.44638
Lowndes GA,0.405,36.3,3465,30.857006,-83.280221
Lumpkin GA,0.289,40.9,552,34.524951,-83.986879
McDuffie GA,0.409,35.9,957,33.459617,-82.469866
